Date,Open,High,Low,Close,Adj Close,Volume
2016-06-27,202.600006,205.750000,202.399994,204.600006,199.183197,439960
2016-06-28,206.850006,206.899994,202.750000,203.399994,198.014938,232169
2016-06-29,205.850006,205.850006,202.449997,203.500000,198.112305,175602
2016-06-30,205.000000,207.699997,203.600006,206.699997,201.227570,291685
2016-07-01,207.000000,208.050003,204.000000,204.550003,199.134506,326373
2016-07-04,206.000000,214.000000,205.550003,213.199997,207.555496,506534
2016-07-05,215.000000,216.399994,213.000000,214.350006,208.675064,519327
2016-07-07,217.000000,217.149994,209.649994,210.399994,204.829620,430600
2016-07-08,210.600006,212.100006,204.699997,207.050003,201.568314,312058
2016-07-11,209.000000,218.000000,208.100006,216.949997,211.206207,626608
2016-07-12,219.550003,219.850006,215.600006,217.550003,211.790344,668370
2016-07-13,219.000000,222.199997,215.199997,216.600006,210.865494,4241627
2016-07-14,218.800003,220.250000,214.649994,216.800003,211.060196,330544
2016-07-15,220.500000,223.899994,218.500000,219.800003,213.980759,585316
2016-07-18,221.100006,222.899994,216.000000,218.000000,212.228424,515062
2016-07-19,221.000000,221.100006,216.300003,220.300003,214.467545,292256
2016-07-20,220.300003,222.300003,218.699997,220.800003,214.954300,283099
2016-07-21,222.000000,226.300003,219.800003,223.300003,217.388123,743974
2016-07-22,224.899994,225.800003,221.550003,224.500000,218.556335,469820
2016-07-25,225.000000,227.300003,224.350006,226.100006,220.113983,185645
2016-07-26,227.000000,229.300003,222.250000,224.350006,218.410294,198827
2016-07-27,226.199997,229.949997,223.600006,228.449997,222.401749,255640
2016-07-28,230.000000,231.500000,224.050003,225.300003,219.335159,186726
2016-07-29,226.899994,233.000000,226.350006,231.949997,225.809082,347683
2016-08-01,231.949997,236.250000,225.899994,228.449997,222.401749,427905
2016-08-02,233.000000,233.000000,223.800003,224.750000,218.799713,491294
2016-08-03,227.899994,228.350006,221.500000,223.300003,217.388123,284500
2016-08-04,226.000000,229.350006,223.250000,227.899994,221.866302,478982
2016-08-05,229.899994,234.500000,229.199997,233.850006,227.658798,287512
2016-08-08,236.000000,241.250000,234.199997,240.399994,234.035355,353036
2016-08-09,241.899994,243.449997,235.050003,239.550003,233.207886,1032720
2016-08-10,244.399994,260.950012,243.949997,258.549988,251.704849,1950197
2016-08-11,258.950012,259.500000,250.699997,253.600006,246.885925,520832
2016-08-12,254.800003,260.500000,251.250000,257.299988,250.487961,529757
2016-08-16,258.600006,275.000000,258.450012,273.049988,265.820923,844723
2016-08-17,274.000000,276.299988,265.200012,266.649994,259.590393,472858
2016-08-18,270.000000,276.500000,268.049988,274.399994,267.135193,393082
2016-08-19,275.450012,277.750000,270.299988,273.000000,265.772278,362634
2016-08-22,275.000000,279.399994,268.649994,270.600006,263.435822,401030
2016-08-23,271.500000,276.200012,270.100006,272.500000,265.285553,241001
2016-08-24,274.899994,274.899994,268.799988,270.299988,263.143738,222191
2016-08-25,270.350006,271.399994,260.549988,262.149994,255.209518,375720
2016-08-26,262.000000,263.049988,255.149994,257.549988,250.731308,548530
2016-08-29,254.949997,263.500000,247.500000,262.299988,255.355545,577317
2016-08-30,262.299988,266.000000,260.250000,263.200012,256.231720,208543
2016-08-31,262.049988,266.299988,261.399994,262.700012,255.744980,296236
2016-09-01,262.700012,263.950012,257.899994,258.950012,252.094284,470224
2016-09-02,258.950012,269.500000,256.899994,268.149994,261.050690,555656
2016-09-06,269.000000,271.750000,267.850006,269.549988,262.413605,299027
2016-09-07,271.000000,274.000000,266.450012,271.899994,264.701416,277605
2016-09-08,272.000000,276.000000,272.000000,275.200012,267.914032,518706
2016-09-09,275.000000,275.500000,270.149994,271.450012,264.263336,445216
2016-09-12,270.000000,270.000000,256.649994,259.600006,252.727051,524101
2016-09-14,261.000000,267.299988,257.200012,264.950012,257.935394,199484
2016-09-15,266.299988,269.649994,262.000000,267.200012,260.125854,249885
2016-09-16,267.000000,274.899994,267.000000,271.750000,264.555389,472978
2016-09-19,272.950012,277.450012,269.899994,276.100006,268.790222,313372
2016-09-20,277.600006,277.600006,267.799988,270.149994,262.997742,253662
2016-09-21,275.000000,276.000000,267.500000,269.649994,262.510986,376957
2016-09-22,274.399994,277.100006,272.000000,275.200012,267.914032,311963
2016-09-23,275.000000,277.700012,273.200012,275.250000,267.962708,205026
2016-09-26,275.100006,275.100006,268.799988,270.450012,263.289825,209006
2016-09-27,269.450012,273.850006,264.000000,264.500000,257.497345,358398
2016-09-28,269.899994,271.500000,262.399994,270.500000,263.338470,217582
2016-09-29,272.000000,273.649994,254.199997,256.950012,250.147232,364444
2016-09-30,258.049988,259.799988,249.550003,256.750000,249.952515,376021
