Date,Symbol,Series,PrevClose,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,DeliverableVolume,Deliverble
03-01-2000,KOTAKMAH,EQ,212.35,220,229.35,220,229.35,229.35,229.13,7086,1.62364E+11,,,
04-01-2000,KOTAKMAH,EQ,229.35,247.7,247.7,225.25,247.7,246.95,244.12,73681,1.79873E+12,,,
05-01-2000,KOTAKMAH,EQ,246.95,229,240,227.2,228,228.4,233.75,105799,2.47309E+12,,,
06-01-2000,KOTAKMAH,EQ,228.4,235.1,239,217,224.95,225.9,226.84,40202,9.11955E+11,,,
07-01-2000,KOTAKMAH,EQ,225.9,213,219,207.85,207.85,208.85,209.94,24463,5.13575E+11,,,
10-01-2000,KOTAKMAH,EQ,208.85,215,219,192.15,192.15,192.15,196.47,12408,2.4378E+11,,,
11-01-2000,KOTAKMAH,EQ,192.15,180.2,180.2,176.8,176.8,176.8,176.98,15253,2.69947E+11,,,
12-01-2000,KOTAKMAH,EQ,176.8,165,169.45,162.7,162.7,162.7,163.34,20558,3.35792E+11,,,
13-01-2000,KOTAKMAH,EQ,162.7,149.7,175.7,149.7,163.35,167.35,163.83,103323,1.69277E+12,,,
14-01-2000,KOTAKMAH,EQ,167.35,169,177,156.15,160.5,159.85,161.69,31522,5.09688E+11,,,
17-01-2000,KOTAKMAH,EQ,159.85,169,170,150.15,151.5,153.5,157.22,27217,4.27904E+11,,,
18-01-2000,KOTAKMAH,EQ,153.5,148.25,158.9,147.3,149.25,149.5,151.56,40099,6.07732E+11,,,
19-01-2000,KOTAKMAH,EQ,149.5,154.5,161.5,154,161.5,161.5,158.69,12701,2.01551E+11,,,
20-01-2000,KOTAKMAH,EQ,161.5,174.45,174.45,174.45,174.45,174.45,174.45,4180,72920100000,,,
21-01-2000,KOTAKMAH,EQ,174.45,188.4,188.45,182.1,188.45,188.45,187.89,39486,7.41885E+11,,,
24-01-2000,KOTAKMAH,EQ,188.45,200,203.55,200,203.55,203.55,203.54,10214,2.07891E+11,,,
25-01-2000,KOTAKMAH,EQ,203.55,214.9,218.9,189.05,199,200.6,202.5,106362,2.15383E+12,,,
27-01-2000,KOTAKMAH,EQ,200.6,194.95,194.95,194.95,194.95,194.95,194.95,3547,69148765000,,,
28-01-2000,KOTAKMAH,EQ,194.95,210.55,210.55,210.55,210.55,210.55,210.55,36765,7.74087E+11,,,
31-01-2000,KOTAKMAH,EQ,210.55,227.4,227.4,219,227.4,227.4,226.2,55785,1.26188E+12,,,
01-02-2000,KOTAKMAH,EQ,227.4,245.45,245.6,211.1,231.75,230.6,231.09,158195,3.65576E+12,,,
02-02-2000,KOTAKMAH,EQ,230.6,245,245,220.55,222,222,227.79,75199,1.71297E+12,,,
