DATE,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
18-11-2021,506.05,492.45,503.95,912338,14434
17-11-2021,505.25,490.95,498.15,802235,14533
16-11-2021,507,493.45,495,1132667,37916
15-11-2021,515.9,505.6,506.7,619564,10735
12-11-2021,513.9,502.95,511.25,799018,12931
11-11-2021,523.3,507.15,509.55,838804,16557
10-11-2021,528.35,521.6,524.4,756785,16761
09-11-2021,532.1,522.4,529.2,787051,12873
08-11-2021,534.95,516.65,523.15,1315335,23252
04-11-2021,536,528,530.45,425977,12139
03-11-2021,542.2,515.4,527.65,3590971,42444
02-11-2021,524.8,512,521.7,1005299,16079
01-11-2021,516.65,501.1,515.55,1068948,17967
29-10-2021,512.65,488.4,502.4,1568911,29026
28-10-2021,520.7,498,501.4,919093,13314
27-10-2021,526.7,512.15,519.15,1415276,24184
26-10-2021,518.25,507.3,512.6,830550,12883
25-10-2021,515.55,498,506.35,1961517,20281
22-10-2021,508.7,500.05,502.95,1187527,20144
21-10-2021,506.8,492,503.05,1267598,21922
20-10-2021,507.35,483.05,499.95,3688585,35751
19-10-2021,504.1,483.3,488.45,770638,13504
18-10-2021,500.85,491.7,497.85,758057,12040
14-10-2021,493.95,482,490.5,891894,12961
13-10-2021,486.9,478,481.6,1086483,22187
12-10-2021,484.45,468.15,483.1,1384526,17953
11-10-2021,475,458.75,469.2,2624845,13257
08-10-2021,464,454.3,457.7,621573,11063
07-10-2021,463.8,457.15,457.75,361785,6274
06-10-2021,471,453.8,457.15,1550391,14585
05-10-2021,469,458.6,464.65,575441,9412
04-10-2021,464.2,452.4,463.05,1260459,21012
01-10-2021,455.5,444,451.75,782190,12574
30-09-2021,464.8,451.55,453.05,1699540,23722
29-09-2021,462.15,439.05,460.1,2230717,28261
28-09-2021,455.7,439.85,445.1,1161343,13632
27-09-2021,450.35,442.45,446.2,976555,17364
24-09-2021,451.9,440.05,440.8,828337,16098
23-09-2021,451,442,449.8,2981829,21786
22-09-2021,442.75,436.25,439,1009951,12883
21-09-2021,441.45,432.7,438.95,829404,11119
20-09-2021,453.45,435.5,437.3,7500730,14437
17-09-2021,471.85,450.5,454.05,1741238,20865
16-09-2021,465.9,442.8,463.65,1619636,24936
15-09-2021,445,431.55,443.85,1880332,33845
14-09-2021,436.8,432.25,433.05,336968,5062
13-09-2021,433.8,428.85,432.75,336299,5130
09-09-2021,433.65,429.9,432.2,603452,14261
08-09-2021,435.3,427.95,431.45,660761,8325
07-09-2021,432,425.2,428.95,471095,7219
06-09-2021,433.75,430.15,431.05,379495,6292
03-09-2021,434.2,428.3,431.4,570467,7205
02-09-2021,433.4,427.7,429.65,538671,7026
01-09-2021,432.5,425.4,429.7,779955,9810
31-08-2021,427,418.7,426,667701,8387
30-08-2021,423.3,413.75,422.7,674347,8309
27-08-2021,414.5,407.5,412.35,784995,14081
26-08-2021,415.8,410,410.8,597448,8045
25-08-2021,421.25,414.5,416.2,718145,8945
24-08-2021,418.8,408.3,417.55,610174,9931
23-08-2021,412.9,401.3,409.3,1304589,25371
20-08-2021,417.3,405.25,406.95,1549721,39992
18-08-2021,424.3,418,419.85,582401,9649
17-08-2021,425.9,415.3,421.35,937046,13755
16-08-2021,433.9,424,424.85,924073,18331
13-08-2021,432.15,424.85,431.35,1071640,12318
12-08-2021,430.4,424.9,427.1,728877,9462
11-08-2021,432.95,423.15,428,1256503,16694
10-08-2021,436.4,421.7,426.4,1015030,16229
09-08-2021,441.8,431,433.4,874686,12949
06-08-2021,447,434,435.65,1140087,18728
05-08-2021,462.6,438.5,441.85,3082205,48598
04-08-2021,467.3,441.5,457.05,5851611,62830
03-08-2021,447.8,433.75,446.45,2095353,24745
02-08-2021,436.6,431.85,434.85,1172231,16737
30-07-2021,444.35,430.75,431.7,2202999,28745
29-07-2021,443.75,425.5,441.75,2141040,26544
28-07-2021,430.5,421,425.45,647349,9528
27-07-2021,433.15,424.05,429.45,1375764,16752
26-07-2021,428.75,422.5,423.3,671109,14575
23-07-2021,430,419.5,429.15,753824,14565
